"X","Nom.cité.dans.le.texte","Nom.français.cité.dans.le.texte","Nom.valide","INTITULE","ARRETE","ARTICLE","CD_NOM"
NA,"Allium chamaemoly L.","Ail petit Moly","Allium chamaemoly L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",81341
NA,"Allium moly L.","Ail doré","Allium moly L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",81433
NA,"Althenia barrandonii Duval-Jouve.","Althenie","Althenia filiformis Petit, 1829 subsp. filiformis","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",131262
NA,"Alyssum arenarium Loisel.","Corbeille d'or des sables","Alyssum loiseleurii P.Fourn., 1936","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",81915
NA,"Alyssum corsicum Duby.","Corbeille d'or de Corse","Alyssum corsicum Duby, 1828","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",81896
NA,"Ambrosinia bassii L.","Ambrosinia de Bassi","Ambrosina bassii L., 1764","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82095
NA,"Ampelodesmos mauretanica (Poiret) T. Durand et Schinz","Diss","Ampelodesmos mauritanicus (Poir.) T.Durand & Schinz, 1894","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82173
NA,"Anagallis crassifolia Thore.","Mouron à feuilles charnues","Lysimachia tyrrhenia (Thore) U.Manns & Anderb., 2009","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",610908
NA,"Anchusa crispa Viv.","Buglosse crépu","Anchusa crispa Viv., 1825 subsp. crispa","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",907646
NA,"Anchusa crispa Viv.","Buglosse crépu","Anchusa crispa subsp. valincoana Paradis, Piazza & Quilichini, 2018","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",907647
NA,"Anchusa crispa Viv.","Buglosse crépu","Anchusa crispa Viv., 1825","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82376
NA,"Andromeda polifolia L.","Andromède","Andromeda polifolia L., 1753 var. polifolia","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",1008770
NA,"Andromeda polifolia L.","Andromède","Andromeda polifolia L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82420
NA,"Androsace alpina (L.) Lam.","Androsace des Alpes","Androsace alpina (L.) Lam., 1779","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82478
NA,"Androsace cylindrica DC.","Androsace cylindrique","Androsace cylindrica DC., 1805","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82495
NA,"Androsace helvetica (L.) All.","Androsace de Suisse","Androsace helvetica (L.) All., 1785","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82504
NA,"Androsace pubescens DC.","Androsace pubescente","Androsace pubescens DC., 1805","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82529
NA,"Androsace pyrenaica Lam.","Androsace des Pyrénées","Androsace pyrenaica Lam., 1792","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82531
NA,"Androsace vandellii (Turra) Chiov.","Androsace Vandelli","Androsace argentea (C.F.Gaertn.) Lapeyr., 1813","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82483
NA,"Anemone coronaria L.","Anémone couronnée","Anemone coronaria L., 1753 [nom. et typ. cons.]","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82607
NA,"Anemone palmata L.","Anémone palmée","Anemone palmata L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82642
NA,"Anemone silvestris L.","Anémone sauvage","Anemone sylvestris L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82665
NA,"Anemone trifolia L.","Anémone trifoliée","Anemone trifolia L., 1753 subsp. trifolia","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",131412
NA,"Anemone trifolia L.","Anémone trifoliée","Anemone trifolia L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82666
NA,"Angelica heterocarpa Lloyd.","Angelique à fruits variés","Angelica heterocarpa J.Lloyd, 1859","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82715
NA,"Anthyllis barba-jovis L.","Arbuste d'argent, Barbe de Jupiter","Anthyllis barba-jovis L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",82965
NA,"Aquilegia alpina L.","Ancolie des Alpes","Aquilegia alpina L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",83240
NA,"Aquilegia viscosa Gouan.","Ancolie des Causses","Aquilegia viscosa Gouan, 1764","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",83266
NA,"Arenaria controversa Boiss.","Sabline des Chaumes","Arenaria controversa Boiss., 1840","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",83565
NA,"Arenaria provincialis Chater et Halliday","Sabline de Provence","Arenaria provincialis Chater & G.Halliday, 1964","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",83636
NA,"Armeria elongata L.","Armeria à tige allongée","Armeria vulgaris Willd., 1809","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",83855
NA,"Armeria filicaulis belgenciensis Boiss.","Armeria de Belgentier","Armeria belgenciensis Donad. ex Kerguélen, 1987","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",83810
NA,"Armeria pubinervis Boiss.","Armeria à nervures poilues","Armeria pubinervis Boiss., 1848","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",83843
NA,"Armeria pungens (Link) Hoffmanns. et Link","Armeria piquant","Armeria pungens (Link) Hoffmanns. & Link, 1820","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",83844
NA,"Armeria ruscinonensis Girard.","Armeria du Roussillon","Armeria ruscinonensis Girard, 1844 subsp. ruscinonensis","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",131684
NA,"Armeria ruscinonensis Girard.","Armeria du Roussillon","Armeria ruscinonensis subsp. littorifuga (Bernis) Malag., 1976","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",131683
NA,"Armeria ruscinonensis Girard.","Armeria du Roussillon","Armeria ruscinonensis Girard, 1844","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",83847
NA,"Armeria soleirolii (Duby) Godron.","Armeria de Soleirol","Armeria soleirolii (Duby) Godr., 1853","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",83852
NA,"Artemisia insipida Vill.","Armoise insipide","Artemisia insipida Vill., 1779","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",83992
NA,"Asperula hexaphylla All.","Asperule à feuilles par six","Asperula hexaphylla All., 1785","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84310
NA,"Asperula occidentalis Rouy.","Asperule occidentale","Asperula occidentalis Rouy, 1903","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84316
NA,"Asperula taurina L.","Grande Croisette","Asperula taurina L., 1753 subsp. taurina","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",131775
NA,"Asperula taurina L.","Grande Croisette","Asperula taurina L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84328
NA,"Asphodelus arrondeaui Lloyd.","Bâton blanc d'Arrondeau","Asphodelus macrocarpus subsp. arrondeaui (J.Lloyd) Rivas Mart., 2002","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 2",718311
NA,"Asplenium cuneifolium Viv.","Doradille à feuilles en coin","Asplenium cuneifolium Viv., 1808 subsp. cuneifolium","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",161077
NA,"Asplenium cuneifolium Viv.","Doradille à feuilles en coin","Asplenium cuneifolium Viv., 1808","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84476
NA,"Asplenium fissum Kit et Willd.","Doradille du Mercantour","Asplenium fissum Kit. ex Willd., 1810","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84483
NA,"Asplenium jahandiezii Rouy.","Doradille du Verdon, Doradille de Jahandier","Asplenium jahandiezii (Litard.) Rouy, 1913","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84494
NA,"Asplenium lepidum C. Presl.","Doradille pulvérulente","Asplenium lepidum C.Presl, 1836 subsp. lepidum","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",131826
NA,"Asplenium lepidum C. Presl.","Doradille pulvérulente","Asplenium lepidum C.Presl, 1836","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84497
