"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Eptesicus nilssoni";"Sérotine de Nilsson";"Eptesicus nilssonii (Keyserling & Blasius, 1839)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"79302"
"";"Eptesicus serotinus";"Sérotine commune";"Eptesicus serotinus (Schreber, 1774)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60360"
"";"Ericaceus europaeus";"Hérisson d'Europe";"Erinaceus europaeus Linnaeus, 1758";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60015"
"";"Felis silvestris";"Chat sauvage";"Felis silvestris lybica Forster, 1780";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60609"
"";"Felis silvestris";"Chat sauvage";"Felis silvestris silvestris Schreber, 1775";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60598"
"";"Felis silvestris";"Chat sauvage";"Felis silvestris Schreber, 1775";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"79306"
"";"Galemys pyrenaicus";"Desman des Pyrénées";"Galemys pyrenaicus (É. Geoffroy Saint-Hilaire, 1811)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60243"
"";"Genetta genetta";"Genette";"Genetta genetta (Linnaeus, 1758)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60831"
"";"Hypsugo savii";"Vespère de Savi";"Hypsugo savii (Bonaparte, 1837)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60506"
"";"Lutra lutra";"Loutre";"Lutra lutra (Linnaeus, 1758)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60630"
"";"Lynx lynx";"Lynx boréal";"Lynx lynx carpathicus Heptner, 1972";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"899259"
"";"Lynx lynx";"Lynx boréal";"Lynx lynx (Linnaeus, 1758)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60612"
"";"Miniopterus schreibersii";"Minioptère de Schreibers";"Miniopterus schreibersii (Natterer in Kuhl, 1817)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"79305"
"";"Muscardinus avellanarius";"Muscardin";"Muscardinus avellanarius (Linnaeus, 1758)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"61636"
"";"Mustella lutreola";"Vison d'Europe";"Mustela lutreola (Linnaeus, 1761)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60704"
"";"Myotis alcathoe";"Murin d'Alcathoé";"Myotis alcathoe Helversen & Heller, 2001";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"79299"
"";"Myotis bechsteini";"Vespertilion de Bechstein";"Myotis bechsteinii (Kuhl, 1817)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"79301"
"";"Myotis blythi";"Petit Murin";"Myotis blythii oxygnathus (Monticelli, 1885)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"200115"
"";"Myotis blythi";"Petit Murin";"Myotis blythii (Tomes, 1857)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60427"
"";"Myotis brandti";"Vespertilion de Brandt";"Myotis brandtii (Eversmann, 1845)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"79300"
"";"Myotis capaccinii";"Vespertilion de Capaccini";"Myotis capaccinii capaccinii (Bonaparte, 1837)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"200117"
"";"Myotis capaccinii";"Vespertilion de Capaccini";"Myotis capaccinii (Bonaparte, 1837)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60439"
"";"Myotis dasycneme";"Vespertilion des marais";"Myotis dasycneme (Boie, 1825)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60447"
"";"Myotis daubentoni";"Vespertilion de Daubenton";"Myotis daubentonii (Kuhl, 1817)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"200118"
"";"Myotis emarginatus";"Vespertilion à oreilles échancrées";"Myotis emarginatus (É. Geoffroy Saint-Hilaire, 1806)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60400"
"";"Myotis escalerai";"Murin d'Escalera";"Myotis escalerai Cabrera, 1904";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60411"
"";"Myotis myotis";"Grand Murin";"Myotis myotis (Borkhausen, 1797)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60418"
"";"Myotis mystacinus";"Vespertilion à moustaches";"Myotis mystacinus (Kuhl, 1817)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60383"
"";"Myotis nattereri";"Vespertilion de Natterer";"Myotis nattereri (Kuhl, 1817)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60408"
"";"Myotis punicus";"Murin du Maghreb";"Myotis punicus Felten, 1977";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"79298"
"";"Neomys anomalus";"Musaraigne de Miller";"Neomys milleri Mottaz, 1907";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60123"
"";"Neomys fodiens";"Musaraigne aquatique";"Neomys fodiens fodiens (Pennant, 1771)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60130"
"";"Neomys fodiens";"Musaraigne aquatique";"Neomys fodiens (Pennant, 1771)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60127"
"";"Nyctalus lasiopterus";"Grande Noctule";"Nyctalus lasiopterus (Schreber, 1780)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60457"
"";"Nyctalus leisleri";"Noctule de Leisler";"Nyctalus leisleri leisleri (Kuhl, 1817)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60463"
"";"Nyctalus leisleri";"Noctule de Leisler";"Nyctalus leisleri (Kuhl, 1817)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60461"
"";"Nyctalus noctula";"Noctule commune";"Nyctalus noctula (Schreber, 1774)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60468"
"";"Pipistrellus kuhlii";"Pipistrelle de Kuhl";"Pipistrellus kuhlii (Natterer in Kuhl, 1817)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"79303"
"";"Pipistrellus nathusii";"Pipistrelle de Nathusius";"Pipistrellus nathusii (Keyserling & Blasius, 1839)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60490"
"";"Pipistrellus pipistrellus";"Pipistrelle commune";"Pipistrellus pipistrellus (Schreber, 1774)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60479"
"";"Pipistrellus pygmaeus";"Pipistrelle pygmée";"Pipistrellus pygmaeus (Leach, 1825)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60489"
"";"Plecotus auritus";"Oreillard roux";"Plecotus auritus auritus (Linnaeus, 1758)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60520"
"";"Plecotus auritus";"Oreillard roux";"Plecotus auritus (Linnaeus, 1758)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60518"
"";"Plecotus austriacus";"Oreillard gris";"Plecotus austriacus (J. B. Fischer, 1829)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60527"
"";"Plecotus macrobullaris";"Oreillard alpin";"Plecotus macrobullaris Kuzyakin, 1965";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"163463"
"";"Rhinolophus euryale";"Rhinolophe euryale";"Rhinolophus euryale Blasius, 1853";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60330"
"";"Rhinolophus ferrumequinum";"Grand Rhinolophe";"Rhinolophus ferrumequinum ferrumequinum (Schreber, 1774)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60297"
"";"Rhinolophus ferrumequinum";"Grand Rhinolophe";"Rhinolophus ferrumequinum (Schreber, 1774)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60295"
"";"Rhinolophus hipposideros";"Petit Rhinolophe";"Rhinolophus hipposideros (Borkhausen, 1797)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60313"
"";"Rhinolophus mehelyi";"Rhinolophe de Mehely";"Rhinolophus mehelyi Matschie, 1901";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60337"
"";"Sciurus vulgaris";"Ecureuil roux";"Sciurus vulgaris fuscoater Altum, 1876";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"899317"
"";"Sciurus vulgaris";"Ecureuil roux";"Sciurus vulgaris Linnaeus, 1758";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"61153"
"";"Tadarida teniotis";"Molosse de Cestoni";"Tadarida teniotis (Rafinesque, 1814)";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60557"
"";"Ursus arctos";"Ours brun";"Ursus arctos arctos Linnaeus, 1758";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"899272"
"";"Ursus arctos";"Ours brun";"Ursus arctos Linnaeus, 1758";"Liste des mammifères terrestres protégés sur l'ensemble du territoire français et les modalités de leur protection";"Arrêté interministériel du 23 avril 2007 fixant la liste des mammifères terrestres protégés sur l'ensemble du territoire et les modalités de leur protection (modifié par l'article 2 de l'arrêté du 1er mars 2019, JORF n°0064 du 16 mars 2019 texte n° 7)";"Article 2";"60826"
