CDNOM;NOM_SCIENTIFIQUE;NOM_VERNACULAIRE;CATEGORIE_HAUTS-DE-FRANCE;CRITERES;CATEGORIE_FRANCE;CATEGORIE_EUROPE
64117;Segmentina nitida (O.F. Müller, 1774);Planorbine cloisonnée;LC;-;-;LC
62032;Pomatias elegans (O.F. Müller, 1774);Elegante striée;LC;-;-;LC
163104;Vitrea contracta (Westerlund, 1871);Cristalline ombiliquée;LC;-;-;LC
163103;Vitrea crystallina (O.F. Müller, 1774);Cristalline commune;LC;-;-;LC
163094;Paralaoma servilis (Shuttleworth, 1852);Escargotin cosmopolite;LC;-;-;DD
163093;Punctum pygmaeum (Draparnaud, 1801);Escargotin minuscule;LC;-;-;LC
64137;Pupilla muscorum (Linnaeus, 1758);Maillot des mousses;LC;-;-;LC
531162;Euglesa casertana (Poli, 1791);Pisidie robuste;LC;-;-;LC
531202;Euglesa henslowana (Sheppard, 1823);Pisidie des gardons;LC;-;-;LC
531205;Euglesa milium (Held, 1836);Pisidie des rives;LC;-;-;LC
531206;Euglesa nitida (Jenyns, 1832);Pisidie ubique;LC;-;-;LC
531207;Euglesa obtusalis (Lamarck, 1818);Pisidie de Lamarck;LC;-;-;LC
531208;Euglesa personata (Malm, 1855);Pisidie des sources;LC;-;-;LC
531211;Euglesa subtruncata (Malm, 1855);Pisidie chiendent;LC;-;-;LC
64655;Pisidium amnicum (O.F. Müller, 1774);Pisidie de vase;LC;-;-;LC
64646;Sphaerium corneum (Linnaeus, 1758);Cyclade commune;LC;-;-;LC
528528;Sphaerium lacustre (O.F. Müller, 1774);Cyclade de vase;LC;-;-;LC
162935;Oxyloma elegans elegans (Risso, 1826);Ambrette élégante;LC;-;-;LC
64169;Succinea putris (Linnaeus, 1758);Ambrette amphibie;LC;-;-;LC
162934;Succinella oblonga (Draparnaud, 1801);Ambrette terrestre;LC;-;-;LC
163011;Columella aspera Waldén, 1966;Columelle obèse;LC;-;-;LC
163008;Columella edentula (Draparnaud, 1805);Columelle édentée;LC;-;-;LC
64440;Unio pictorum (Linnaeus, 1758);Mulette des peintres;LC;-;-;LC
162964;Acanthinula aculeata (O.F. Müller, 1774);Escargotin hérisson;LC;-;-;LC
64144;Vallonia costata (O.F. Müller, 1774);Vallonie costulée;LC;-;-;LC
162959;Vallonia excentrica Sterki, 1893;Vallonie des pelouses;LC;-;-;LC
64145;Vallonia pulchella (O.F. Müller, 1774);Vallonie trompette;LC;-;-;LC
62002;Valvata cristata O.F. Müller, 1774;Valvée plane;LC;-;-;LC
62004;Valvata piscinalis (O.F. Müller, 1774);Valvée porte-plumet;LC;-;-;LC
64140;Vertigo angustior Jeffreys, 1830;Vertigo étroit;LC;-;-;VU
163017;Vertigo antivertigo (Draparnaud, 1801);Vertigo des marais;LC;-;-;LC
64141;Vertigo moulinsiana (Dupuy, 1849);Vertigo de Des Moulins;LC;-;-;VU
163019;Vertigo pygmaea (Draparnaud, 1801);Vertigo commun;LC;-;-;LC
163172;Phenacolimax major (A. Férussac, 1807);Semilimace des plaines;LC;-;-;NT
64197;Vitrina pellucida (O.F. Müller, 1774);Semilimace commune;LC;-;-;LC
162713;Viviparus viviparus viviparus (Linnaeus, 1758);Paludine d'Europe;LC;-;-;LC
62102;Assiminea grayana J. Fleming, 1828;Sentinelle à bande;DD;-;-;LC
199907;Zebrina detrita (O.F. Müller, 1774);Bulime zébré;DD;-;-;LC
163095;Lucilla scintilla (R.T. Lowe, 1852);Luisantine scintillante;DD;-;-;DD
528412;Ecobria ventrosa (Montagu, 1803);Hydrobie atlantique;DD;-;-;LC
163310;Hygromia limbata limbata (Draparnaud, 1805);Hélice des ruisseaux;DD;-;-;LC
901427;Peregriana labiata (Rossmässler, 1835);Limée radis;DD;-;-;LC
162922;Onchidella celtica (Cuvier, 1817);Thalassolimace de Cuvier;DD;-;-;LC
531183;Euglesa globularis (Clessin, 1873);Pisidie globe;DD;-;-;LC
531203;Euglesa hibernica (Westerlund, 1894);Pisidie septentrionale;DD;-;-;LC
531209;Euglesa pseudosphaerium (J. Favre, 1927);Pisidie des marais;DD;-;-;LC
531210;Euglesa pulchella (Jenyns, 1832);Pisidie jolie;DD;-;-;LC
531212;Euglesa supina (A. Schmidt, 1851);Pisidie des plaines;DD;-;-;LC
528530;Odhneripisidium moitessierianum (Paladilhe, 1866);Pisidie des rivières;DD;-;-;LC
531242;Odhneripisidium tenuilineatum (Stelfox, 1918);Petit pisidie;DD;-;-;LC
163435;Sphaerium nucleus (S. Studer, 1820);Cyclade cerise;DD;-;-;LC
163436;Sphaerium ovale (Férussac, 1807);Cyclade ovale;DD;-;-;LC
162936;Oxyloma sarsii (Esmark, 1886);Ambrette des marais;DD;-;-;LC
163013;Truncatellina callicratis (Scacchi, 1833);Maillotin denté;DD;-;-;LC
199900;Unio mancus Lamarck, 1819;Mulette méridionale;DD;-;-;NT
64442;Unio tumidus Philipsson, 1788;Mulette renflée;DD;-;-;LC
782405;Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011;Loche invasive;NA;-;-;LC
163211;Deroceras klemmi Grossu, 1972;Loche voyageuse;NA;-;-;LC
163203;Deroceras sturanyi (Simroth, 1894);Loche orientale;NA;-;-;LC
531122;Arion vulgaris Moquin-Tandon, 1855;Loche méridionale;NA;-;-;LC
163175;Boettgerilla pallens Simroth, 1912;Limace du Caucase;NA;-;-;LC
162979;Solatopupa similis (Bruguière, 1792);Maillot cendré;NA;-;-;LC
163057;Clausilia dubia dubia Draparnaud, 1805;Clausilie douteuse;NA;-;-;LC
64641;Corbicula fluminalis (O.F. Müller, 1774);Corbicule striolée;NA;-;-;-
163433;Corbicula fluminea (O.F. Müller, 1774);Corbicula asiatique;NA;-;-;-
641318;Dreissena bugensis Andrusov, 1897;Moule quagga;NA;-;-;LC
64629;Dreissena polymorpha (Pallas, 1771);Moule zébrée;NA;-;-;-
163459;Mytilopsis leucophaeata (Conrad, 1831);Moule d'Amérique;NA;-;-;-
163319;Cernuella cisalpina (Rossmässler, 1837);Caragouille cisalpine;NA;-;-;LC
64253;Cochlicella acuta (O.F. Müller, 1774);Cornet étroit;NA;-;-;LC
163253;Cochlicella barbara (Linnaeus, 1758);Cornet méditerranéen;NA;-;-;LC
200245;Xerolenta obvia (Menke, 1828);Hélicelle plane;NA;-;-;LC
199869;Helix lucorum Linnaeus, 1758;Escargot turc;NA;-;-;LC
163385;Theba pisana pisana (O.F. Müller, 1774);Caragouille rosée;NA;-;-;LC
163309;Hygromia cinctella (Draparnaud, 1801);Hélice carénée;NA;-;-;LC
526314;Ambigolimax valentianus (A. Férussac, 1822);Limace d'Espagne;NA;-;-;LC
62180;Lithoglyphus naticoides (C. Pfeiffer, 1828);Hydrobie du Danube;NA;-;-;LC
163158;Milax nigricans (Philippi, 1836);Pseudolimace de Méditerranée;NA;-;-;LC
163162;Tandonia budapestensis (Hazay, 1880);Pseudolimace hongroise;NA;-;-;LC
163144;Morlina glabra glabra (Rossmässler, 1835);Luisant étroit;NA;-;-;LC
61758;Physella acuta (Draparnaud, 1805);Physe voyageuse;NA;-;-;LC
847309;Ferrissia californica (Rowell, 1863);Patelline fragile;NA;-;-;-
162915;Gyraulus parvus (Say, 1817);Planorbine voyageuse;NA;-;-;-
162902;Menetus dilatatus (A.A. Gould, 1841);Planorbine américaise;NA;-;-;-
528529;Sphaerium transversum (Say, 1829);Cyclade d'Amérique;NA;-;-;-
62131;Potamopyrgus antipodarum (Gray, 1843);Hydrobie des Antipodes;NA;-;-;-
163089;Testacella haliotidea Draparnaud, 1801;Testacelle commune;NA;-;-;LC
163426;Sinanodonta woodiana (I. Lea, 1834);Anodonte chinoise;NA;-;-;-
